No,Facility Name,Category,Type,Free / Paid,Primary contact,Secandory contact,Email,Provice,District,Nearest Town / City,DS Division / Area,Full Address / Location Detail,Capabilities / Services,Available Hours,Available Doctors / Key Staff,Web site,Other Valuable Points / Notes,HTML code,Submitter Name,Submitter Contact,Submitter e-mail,Agreement
137,Divisional Hospital - Menikhinna,Mental Health,Government Divisional Hospital,Free,081-2374331,,,Central Province,Kandy,Menikhinna,Kundasale,"Menikhinna, Kandy District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,,Mental-health service: http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=42:kandy-district&catid=18&Itemid=201&lang=en ; phone: http://www.kandy.dist.gov.lk/index.php/en/hospitals.html,"<tr><td>Divisional Hospital - Menikhinna<div class=""e-mail""></div></td><td>Central Province</td><td>Kandy</td><td><a href=""tel:081-2374331"" class=""phone-link"">081-2374331</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
138,Divisional Hospital - Deltota / Rehabilitation Centre,Mental Health / Rehabilitation,Government Divisional Hospital,Free,081-2476268,,,Central Province,Kandy,Deltota,Deltota,"Deltota, Kandy District",Medium Stay Unit; Rehabilitation Centre; mental-health referral,Call ahead to confirm current clinic/consultant hours,,,Service: http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=42:kandy-district&catid=18&Itemid=201&lang=en ; phone: http://www.kandy.dist.gov.lk/index.php/en/hospitals.html,"<tr><td>Divisional Hospital - Deltota / Rehabilitation Centre<div class=""e-mail""></div></td><td>Central Province</td><td>Kandy</td><td><a href=""tel:081-2476268"" class=""phone-link"">081-2476268</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
139,Alcohol Rehabilitation Centre - Mampitiya,Mental Health / Substance Use,Government Rehabilitation Centre,Free,081-2315296,,,Central Province,Kandy,Mampitiya,Udunuwara area,"Mampitiya, Kandy District",Alcohol Rehabilitation Unit,Call ahead to confirm current clinic/consultant hours,,,Service: http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=42:kandy-district&catid=18&Itemid=201&lang=en ; phone: http://www.kandy.dist.gov.lk/index.php/en/hospitals.html,"<tr><td>Alcohol Rehabilitation Centre - Mampitiya<div class=""e-mail""></div></td><td>Central Province</td><td>Kandy</td><td><a href=""tel:081-2315296"" class=""phone-link"">081-2315296</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
140,Regional Director of Health Services (RDHS) Kandy,Mental Health Coordination,Government Health Administration,Free,081-2234238,,rdhskandy@gmail.com,Central Province,Kandy,Kandy,Kandy,"Office of Regional Director of Health Services, P.O. Box 56, Yatinuwara Veediya, Kandy",District mental-health coordination; Mental Health Focal Point; referral/event coordination,Weekday office hours (confirm),Medical Officer / Mental Health Focal Point,,Sources: http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=42:kandy-district&catid=18&Itemid=201&lang=en ; https://healthdept.cp.gov.lk/contact-us/general-contact-numbers.html?view=article&id=55&catid=36,"<tr><td>Regional Director of Health Services (RDHS) Kandy<div class=""e-mail"">rdhskandy@gmail.com</div></td><td>Central Province</td><td>Kandy</td><td><a href=""tel:081-2234238"" class=""phone-link"">081-2234238</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
141,STD Clinic - Kandy,STD,Government STD Clinic,Free,081-2203622,,stdclinic.kandy@gmail.com,Central Province,Kandy,Kandy,Kandy,"STD Clinic, P.O. Box 207, Kandy","Confidential STI/HIV testing, diagnosis, treatment, counseling and referral",Mon-Fri 8:00am-4:00pm; Sat 8:00am-12:00pm; confirm locally,Venereology / STD Clinic Team,,Official NSACP service: https://aidscontrol.gov.lk/index.php?option=com_content&view=article&id=35&Itemid=147&lang=en,"<tr><td>STD Clinic - Kandy<div class=""e-mail"">stdclinic.kandy@gmail.com</div></td><td>Central Province</td><td>Kandy</td><td><a href=""tel:081-2203622"" class=""phone-link"">081-2203622</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
142,Asiri Hospital - Kandy,Mental Health / Private Channeling,Private Hospital,Paid,081-4528800,,info@asiri.lk,Central Province,Kandy,Kandy,Kandy,"No. 907, Peradeniya Road, Kandy",Psychiatric care; psychiatrist and psychological counseling channeling; OPD; inpatient; emergency and diagnostics,24-hour emergency; psychiatry by appointment,Visiting psychiatrists / counselors,,Asiri lists psychiatric care: https://asirihealth.com/kandy-home ; contact: https://asirihealth.com/contact-us ; psychiatrist channeling: https://www.doc.lk/channel/9569,"<tr><td>Asiri Hospital - Kandy<div class=""e-mail"">info@asiri.lk</div></td><td>Central Province</td><td>Kandy</td><td><a href=""tel:081-4528800"" class=""phone-link"">081-4528800</a><div class=""phone-secondary""></div></td><td>Paid</td></tr>",,,,
143,Suwasevana Hospitals - Kandy,Mental Health / Private Channeling,Private Hospital,Paid,071-5123223,081-2223223,info@suwasevana.lk,Central Province,Kandy,Kandy,Kandy,"No. 532, Peradeniya Road, Kandy","Psychiatrist channeling; general private hospital, emergency and specialist services",24/7 hotline; psychiatrist appointments by schedule,Visiting psychiatrists,,Contact: https://suwasevana.lk/contact-us/ ; psychiatrist channeling: https://www.echannelling.com/doctor-search/D2522-H67,"<tr><td>Suwasevana Hospitals - Kandy<div class=""e-mail"">info@suwasevana.lk</div></td><td>Central Province</td><td>Kandy</td><td><a href=""tel:071-5123223"" class=""phone-link"">071-5123223</a><div class=""phone-secondary"">081-2223223</div></td><td>Paid</td></tr>",,,,
144,Teaching Hospital Colombo North - Ragama (Acute Psychiatry Unit),Mental Health,Government Teaching Hospital,Free,011-2959261,,,Western Province,Gampaha,Ragama,Mahara / Ragama,"Teaching Hospital Colombo North, Ragama","Acute Psychiatry Unit; mental-health assessment, treatment and referral; specialist psychiatry",24/7 hospital emergency; psychiatry clinic schedule confirm locally,Consultant Psychiatry Team,,Official mental-health listing: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; hospital listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Teaching Hospital Colombo North - Ragama (Acute Psychiatry Unit)<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:011-2959261"" class=""phone-link"">011-2959261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
145,District General Hospital - Gampaha (Acute Psychiatry Unit),Mental Health,Government District General Hospital,Free,033-2222261,033-2222262 / 033-2222263,,Western Province,Gampaha,Gampaha,Gampaha,"District General Hospital, Gampaha",Acute Psychiatry Unit; Mental Health Clinic; Consumer & Carer Association,Call ahead to confirm current clinic/consultant hours,Consultant Psychiatry / Mental Health Team,,Official mental-health listing: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; current DS phone directory: http://gampaha.ds.gov.lk/index.php/en/hospitals.html,"<tr><td>District General Hospital - Gampaha (Acute Psychiatry Unit)<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-2222261"" class=""phone-link"">033-2222261</a><div class=""phone-secondary"">033-2222262 / 033-2222263</div></td><td>Free</td></tr>",,,,
146,District General Hospital - Negombo (Mental Health Clinic),Mental Health,Government District General Hospital,Free,031-2222261,,,Western Province,Gampaha,Negombo,Negombo,"District General Hospital, Negombo",Acute psychiatry / Mental Health Clinic; Consumer & Carer Association,Call ahead to confirm current clinic/consultant hours,Mental Health Team,,Official mental-health listing: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en,"<tr><td>District General Hospital - Negombo (Mental Health Clinic)<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:031-2222261"" class=""phone-link"">031-2222261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
147,Base Hospital - Wathupitiwala (Mental Health Clinic),Mental Health,Government Base Hospital,Free,033-2280261,033-2280262,,Western Province,Gampaha,Wathupitiwala,Attanagalla,"Wathupitiwala, Gampaha District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,,Mental-health clinic listed by Directorate: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; hospital listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Base Hospital - Wathupitiwala (Mental Health Clinic)<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-2280261"" class=""phone-link"">033-2280261</a><div class=""phone-secondary"">033-2280262</div></td><td>Free</td></tr>",,,,
148,Base Hospital - Mirigama (Mental Health Clinic),Mental Health,Government Base Hospital,Free,033-2273261,,,Western Province,Gampaha,Mirigama,Mirigama,"Mirigama, Gampaha District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,,Mental-health clinic listed by Directorate: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; hospital listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Base Hospital - Mirigama (Mental Health Clinic)<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-2273261"" class=""phone-link"">033-2273261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
149,Base Hospital - Kiribathgoda (Mental Health Clinic),Mental Health,Government Base Hospital,Free,011-2911493,,,Western Province,Gampaha,Kiribathgoda,Kelaniya,"Kiribathgoda, Gampaha District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,,Mental-health clinic listed by Directorate: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; hospital listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Base Hospital - Kiribathgoda (Mental Health Clinic)<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:011-2911493"" class=""phone-link"">011-2911493</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
150,Divisional Hospital - Minuwangoda,Mental Health,Government Divisional Hospital,Free,011-2295261,,,Western Province,Gampaha,Minuwangoda,Minuwangoda,"Minuwangoda, Gampaha District",Mental Health Clinic; Alcohol Rehabilitation Unit,Call ahead to confirm current clinic/consultant hours,,,Mental-health service: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; institution listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Divisional Hospital - Minuwangoda<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:011-2295261"" class=""phone-link"">011-2295261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
151,Divisional Hospital - Divulapitiya,Mental Health,Government Divisional Hospital,Free,031-2246261,,,Western Province,Gampaha,Divulapitiya,Divulapitiya,"Divulapitiya, Gampaha District",Mental Health Clinic; Consumer & Carer Association,Call ahead to confirm current clinic/consultant hours,,,Mental-health service: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; institution listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Divisional Hospital - Divulapitiya<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:031-2246261"" class=""phone-link"">031-2246261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
152,Divisional Hospital - Dompe,Mental Health,Government Divisional Hospital,Free,011-2409547,,,Western Province,Gampaha,Dompe,Dompe,"Dompe, Gampaha District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,,Mental-health service: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; institution listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Divisional Hospital - Dompe<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:011-2409547"" class=""phone-link"">011-2409547</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
153,Divisional Hospital - Radawana,Mental Health,Government Divisional Hospital,Free,033-2267261,,,Western Province,Gampaha,Radawana,Dompe area,"Radawana, Gampaha District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,,Mental-health service: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; institution listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Divisional Hospital - Radawana<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-2267261"" class=""phone-link"">033-2267261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
154,Divisional Hospital - Biyagama,Mental Health,Government Divisional Hospital,Free,011-2487527,,,Western Province,Gampaha,Biyagama,Biyagama,"Biyagama, Gampaha District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,,Mental-health service: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; institution listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Divisional Hospital - Biyagama<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:011-2487527"" class=""phone-link"">011-2487527</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
155,Divisional Hospital - Akaragama,Mental Health,Government Divisional Hospital,Free,031-2269261,,,Western Province,Gampaha,Akaragama,Divulapitiya area,"Akaragama, Gampaha District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,,Mental-health service: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; institution listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Divisional Hospital - Akaragama<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:031-2269261"" class=""phone-link"">031-2269261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
156,Primary Medical Care Unit - Kalagedihena,Mental Health / Community Support,Government Primary Medical Care Unit,Free,,,,Western Province,Gampaha,Kalagedihena,Attanagalla area,"Kalagedihena, Gampaha District",Mental Health Clinic; Community Support Centre,Call ahead to confirm current clinic/consultant hours,,,Official Directorate of Mental Health listing: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en,"<tr><td>Primary Medical Care Unit - Kalagedihena<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:"" class=""phone-link""></a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
157,Divisional Hospital - Kandana (Long Stay Unit),Mental Health / Rehabilitation,Government Divisional Hospital,Free,011-2236225,,,Western Province,Gampaha,Kandana,Ja-Ela area,"Divisional Hospital, Kandana",Mental-health Long Stay Unit; referral/rehabilitation support,Call ahead to confirm current clinic/consultant hours,,,Official mental-health long-stay listing: https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=219&lang=en; institution listing: http://gampaha.dist.gov.lk/index.php/en/aboutus/15-government-service-centers/18-hospitals.html,"<tr><td>Divisional Hospital - Kandana (Long Stay Unit)<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:011-2236225"" class=""phone-link"">011-2236225</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
158,Regional Director of Health Services (RDHS) Gampaha,Mental Health Coordination,Government Health Administration,Free,033-2222874,033-2225738,gampaha.rdhs@gmail.com,Western Province,Gampaha,Gampaha,Gampaha,"Kachcheri Complex, Gampaha",District mental-health coordination; Mental Health Unit; referrals and event coordination,Weekday office hours (confirm),Medical Officer - Mental Health / RDHS Team,,RDHS mental-health unit: https://rdhsofficegampaha.org/mental-health-unit/; current office contacts: https://rdhsofficegampaha.org/hospital-clinic-schedules/,"<tr><td>Regional Director of Health Services (RDHS) Gampaha<div class=""e-mail"">gampaha.rdhs@gmail.com</div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-2222874"" class=""phone-link"">033-2222874</a><div class=""phone-secondary"">033-2225738</div></td><td>Free</td></tr>",,,,
159,STD Clinic - Gampaha,STD,Government STD Clinic,Free,033-2234383,,,Western Province,Gampaha,Gampaha,Gampaha,"STD Clinic, District General Hospital / Base Hospital, Gampaha","Confidential STI/HIV testing, diagnosis, treatment, counseling, PrEP/PEP and referral",Mon-Fri 8:00am-4:00pm; Sat 8:00am-12:00pm; confirm locally,Venereology / STD Clinic Team,,Official NSACP Gampaha district listing: https://aidscontrol.gov.lk/index.php?option=com_content&view=article&id=31:gampaha-district-information-on-hiv-stis&catid=13&Itemid=168&lang=ta,"<tr><td>STD Clinic - Gampaha<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-2234383"" class=""phone-link"">033-2234383</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
160,STD Clinic - Ragama,STD,Government STD Clinic,Free,011-2960224,,,Western Province,Gampaha,Ragama,Ragama,"STD Clinic, Teaching Hospital, Ragama","Confidential STI/HIV testing, diagnosis, treatment, counseling, PrEP/PEP and referral",Mon-Fri 8:00am-4:00pm; Sat 8:00am-12:00pm; confirm locally,Venereology / STD Clinic Team,,Official NSACP Gampaha district listing: https://aidscontrol.gov.lk/index.php?option=com_content&view=article&id=31:gampaha-district-information-on-hiv-stis&catid=13&Itemid=168&lang=ta,"<tr><td>STD Clinic - Ragama<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:011-2960224"" class=""phone-link"">011-2960224</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
161,STD Clinic - Negombo,STD,Government STD Clinic,Free,031-2224156,,,Western Province,Gampaha,Negombo,Negombo,"STD Clinic, District General Hospital, Negombo","Confidential STI/HIV testing, diagnosis, treatment, counseling, PrEP/PEP and referral",Mon-Fri 8:00am-4:00pm; Sat 8:00am-12:00pm; confirm locally,Venereology / STD Clinic Team,,Official NSACP Gampaha district listing: https://aidscontrol.gov.lk/index.php?option=com_content&view=article&id=31:gampaha-district-information-on-hiv-stis&catid=13&Itemid=168&lang=ta,"<tr><td>STD Clinic - Negombo<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:031-2224156"" class=""phone-link"">031-2224156</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
162,STD Clinic - Wathupitiwala,STD,Government STD Clinic,Free,033-2280261,033-2280927,,Western Province,Gampaha,Wathupitiwala,Wathupitiwala,"STD Clinic, Base Hospital, Wathupitiwala","Confidential STI/HIV testing, diagnosis, treatment, counseling, PrEP/PEP and referral",Mon-Fri 8:00am-4:00pm; Sat 8:00am-12:00pm; confirm locally,Venereology / STD Clinic Team,,Official NSACP Gampaha district listing: https://aidscontrol.gov.lk/index.php?option=com_content&view=article&id=31:gampaha-district-information-on-hiv-stis&catid=13&Itemid=168&lang=ta,"<tr><td>STD Clinic - Wathupitiwala<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-2280261"" class=""phone-link"">033-2280261</a><div class=""phone-secondary"">033-2280927</div></td><td>Free</td></tr>",,,,
163,Arogya Hospitals - Gampaha,Mental Health / Private Channeling,Private Hospital,Paid,033-2224592,070-7455505,info@arogyahospitals.lk,Western Province,Gampaha,Gampaha,Gampaha,"No. 250, Colombo Road, Gampaha","Psychiatrist channeling; psychology services; OPD, diagnostics and inpatient services",By appointment; call for current psychiatrist schedule,Visiting psychiatrists / psychologists,,Arogya current contact and psychology services: https://www.arogyahospitals.lk/; psychiatrist appointment listings available through its portal.,"<tr><td>Arogya Hospitals - Gampaha<div class=""e-mail"">info@arogyahospitals.lk</div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-2224592"" class=""phone-link"">033-2224592</a><div class=""phone-secondary"">070-7455505</div></td><td>Paid</td></tr>",,,,
164,Sethma Hospital - Gampaha,Mental Health / Private Channeling,Private Hospital,Paid,033-4626626,,info@sethmahospitals.com,Western Province,Gampaha,Gampaha,Gampaha,"Gampaha, Sri Lanka",Psychiatrist channeling; 24/7 OPD; emergency and inpatient care,24/7 OPD; psychiatry by appointment,Visiting psychiatrists,,Hospital contact: https://sethmahospitals.lk/; current psychiatrist channeling is listed on eChannelling.,"<tr><td>Sethma Hospital - Gampaha<div class=""e-mail"">info@sethmahospitals.com</div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-4626626"" class=""phone-link"">033-4626626</a><div class=""phone-secondary""></div></td><td>Paid</td></tr>",,,,
165,Nawaloka Medicare - Gampaha,Mental Health / Private Channeling,Private Medical Centre,Paid,033-5777777,,,Western Province,Gampaha,Gampaha,Gampaha,Gampaha,"Psychiatrist channeling; psycho-counseling / psychotherapy; ETU, laboratory, imaging and pharmacy",By appointment; call centre/online booking recommended,Visiting psychiatrist / psycho-counselor,,Facility services: https://nawalokamedicare.com/nawaloka-medicare-gampaha-2/; psychiatrist and psycho-counselor listings: https://frame.doc.lk:8090/all/channel/7191?specialization=29,"<tr><td>Nawaloka Medicare - Gampaha<div class=""e-mail""></div></td><td>Western Province</td><td>Gampaha</td><td><a href=""tel:033-5777777"" class=""phone-link"">033-5777777</a><div class=""phone-secondary""></div></td><td>Paid</td></tr>",,,,
166,Teaching Hospital - Kurunegala (Acute Psychiatry Unit),Mental Health,Government Teaching Hospital,Free,037-2222261,037-2222262 - 3 / 037-2233906 - 9,info@kurunegalahospital.health.gov.lk,North Western Province,Kurunegala,Kurunegala,Kurunegala,"Colombo Road, Kurunegala 60000",Acute Psychiatry Unit; psychiatry clinic; OPD; 24/7 accident & emergency; specialist referral,24/7 emergency; psychiatry clinic schedule confirm locally,Consultant Psychiatry Team,,Official mental-health listing: https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=45:kurunegala-district&catid=18&Itemid=204&lang=en; official hospital contacts: https://www.kurunegalahospital.health.gov.lk/,"<tr><td>Teaching Hospital - Kurunegala (Acute Psychiatry Unit)<div class=""e-mail"">info@kurunegalahospital.health.gov.lk</div></td><td>North Western Province</td><td>Kurunegala</td><td><a href=""tel:037-2222261"" class=""phone-link"">037-2222261</a><div class=""phone-secondary"">037-2222262 - 3 / 037-2233906 - 9</div></td><td>Free</td></tr>",,,,
167,Teaching Hospital / Base Hospital - Kuliyapitiya (Mental Health Clinic),Mental Health,Government Teaching / Base Hospital,Free,037-2281261,,,North Western Province,Kurunegala,Kuliyapitiya,Kuliyapitiya,"Teaching Hospital, Hettipola Road, Kuliyapitiya",Mental Health Clinic; Consumer & Carer Association; specialist psychiatry referral,Call ahead to confirm current clinic/consultant hours,Consultant Psychiatrist / Mental Health Team,,Mental-health clinic: https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=45:kurunegala-district&catid=18&Itemid=204&lang=en,"<tr><td>Teaching Hospital / Base Hospital - Kuliyapitiya (Mental Health Clinic)<div class=""e-mail""></div></td><td>North Western Province</td><td>Kurunegala</td><td><a href=""tel:037-2281261"" class=""phone-link"">037-2281261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
168,Base Hospital - Nikaweratiya (Mental Health / Day Centre),Mental Health,Government Base Hospital,Free,037-2260261,,,North Western Province,Kurunegala,Nikaweratiya,Nikaweratiya,"Base Hospital, Nikaweratiya",Psychiatry support / Day Centre; specialist psychiatrist available through hospital; referral,Call hospital to confirm mental-health clinic/day-centre schedule,Consultant Psychiatrist / Mental Health Team,,Day Centre and psychiatrist location: https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=45:kurunegala-district&catid=18&Itemid=204&lang=en,"<tr><td>Base Hospital - Nikaweratiya (Mental Health / Day Centre)<div class=""e-mail""></div></td><td>North Western Province</td><td>Kurunegala</td><td><a href=""tel:037-2260261"" class=""phone-link"">037-2260261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
169,Divisional Hospital - Mawathagama,Mental Health / Substance Use,Government Divisional Hospital,Free,037-2299261,,,North Western Province,Kurunegala,Mawathagama,Mawathagama,"Divisional Hospital, Mawathagama",Mental Health Clinic; Alcohol Rehabilitation Centre; Consumer & Carer Association,Call ahead to confirm current clinic/consultant hours,,,Official mental-health services: https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=45:kurunegala-district&catid=18&Itemid=204&lang=en,"<tr><td>Divisional Hospital - Mawathagama<div class=""e-mail""></div></td><td>North Western Province</td><td>Kurunegala</td><td><a href=""tel:037-2299261"" class=""phone-link"">037-2299261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
170,Divisional Hospital - Hiripitiya,Mental Health,Government Divisional Hospital,Free,037-2264061,,,North Western Province,Kurunegala,Hiripitiya,Ganewatta area,"Divisional Hospital, Hiripitiya",Mental Health Clinic; Consumer & Carer Association,Call ahead to confirm current clinic/consultant hours,,,Official mental-health clinic: https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=45:kurunegala-district&catid=18&Itemid=204&lang=en,"<tr><td>Divisional Hospital - Hiripitiya<div class=""e-mail""></div></td><td>North Western Province</td><td>Kurunegala</td><td><a href=""tel:037-2264061"" class=""phone-link"">037-2264061</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
171,Uhumeeya Mental Health Rehabilitation Centre,Mental Health / Rehabilitation,Government Rehabilitation Centre,Free,037-2238727,,,North Western Province,Kurunegala,Uhumeeya,Kurunegala area,"Uhumeeya, Kurunegala District",Medium Stay Unit / Mental Health Rehabilitation Centre; Consumer & Carer Association,Contact unit/RDHS to confirm admission and referral procedure,Mental Health Rehabilitation Team,,Rehabilitation service: https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=45:kurunegala-district&catid=18&Itemid=204&lang=en; published mental-health rehabilitation unit contact used where available.,"<tr><td>Uhumeeya Mental Health Rehabilitation Centre<div class=""e-mail""></div></td><td>North Western Province</td><td>Kurunegala</td><td><a href=""tel:037-2238727"" class=""phone-link"">037-2238727</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
172,Regional Director of Health Services (RDHS) Kurunegala,Mental Health Coordination,Government Health Administration,Free,037-2222278,037-2228027,dpdhskur@yahoo.com,North Western Province,Kurunegala,Kurunegala,Kurunegala,"RDHS Office, Negombo Road / Mills Road, Kurunegala",District mental-health coordination; Mental Health Focal Point; referrals and PFA event coordination,Weekday office hours (confirm),Medical Officer / Mental Health Focal Point,,Official Directorate contact: https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=45:kurunegala-district&catid=18&Itemid=204&lang=en,"<tr><td>Regional Director of Health Services (RDHS) Kurunegala<div class=""e-mail"">dpdhskur@yahoo.com</div></td><td>North Western Province</td><td>Kurunegala</td><td><a href=""tel:037-2222278"" class=""phone-link"">037-2222278</a><div class=""phone-secondary"">037-2228027</div></td><td>Free</td></tr>",,,,
173,STD Clinic - Teaching Hospital Kurunegala,STD,Government STD Clinic,Free,037-2224339,,stdclinic.kurunegala@gmail.com,North Western Province,Kurunegala,Kurunegala,Kurunegala,"STD Clinic, Teaching Hospital, Kurunegala","Confidential STI/HIV testing, diagnosis, treatment, counseling and referral",Mon-Fri 8:00am-4:00pm; Sat 8:00am-12:00pm; confirm locally,Venereology / STD Clinic Team,,Official NSACP listing: https://aidscontrol.gov.lk/index.php?option=com_content&view=article&id=38&Itemid=175&lang=en,"<tr><td>STD Clinic - Teaching Hospital Kurunegala<div class=""e-mail"">stdclinic.kurunegala@gmail.com</div></td><td>North Western Province</td><td>Kurunegala</td><td><a href=""tel:037-2224339"" class=""phone-link"">037-2224339</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
